,sale_day_x,departure_date,origin_station_name,destination_station_name,prediction_until_departure,real_sum_until_departure
0,-90,2020-10-16,cpe,ag,386,465.0
1,-60,2020-10-16,cpe,ag,367,453.0
2,-30,2020-10-16,cpe,ag,305,312.0
3,-20,2020-10-16,cpe,ag,212,187.0
4,-15,2020-10-16,cpe,ag,177,159.0
5,-10,2020-10-16,cpe,ag,122,102.0
6,-7,2020-10-16,cpe,ag,90,70.0
7,-6,2020-10-16,cpe,ag,90,70.0
8,-5,2020-10-16,cpe,ag,72,62.0
9,-3,2020-10-16,cpe,ag,25,32.0
10,-90,2020-10-16,cpe,ag,435,741.0
11,-60,2020-10-16,cpe,ag,417,701.0
12,-30,2020-10-16,cpe,ag,350,397.0
13,-20,2020-10-16,cpe,ag,265,287.0
14,-15,2020-10-16,cpe,ag,206,215.0
15,-10,2020-10-16,cpe,ag,127,134.0
16,-7,2020-10-16,cpe,ag,83,103.0
17,-6,2020-10-16,cpe,ag,59,85.0
18,-5,2020-10-16,cpe,ag,37,62.0
19,-3,2020-10-16,cpe,ag,17,35.0
20,-90,2020-10-17,cpe,ag,353,376.0
21,-60,2020-10-17,cpe,ag,334,358.0
22,-30,2020-10-17,cpe,ag,267,163.0
23,-20,2020-10-17,cpe,ag,193,98.0
24,-15,2020-10-17,cpe,ag,134,69.0
25,-10,2020-10-17,cpe,ag,66,34.0
26,-7,2020-10-17,cpe,ag,34,24.0
27,-6,2020-10-17,cpe,ag,34,24.0
28,-5,2020-10-17,cpe,ag,34,24.0
29,-3,2020-10-17,cpe,ag,34,24.0
30,-2,2020-10-17,cpe,ag,17,19.0
31,-90,2020-10-17,cpe,ag,320,200.0
32,-60,2020-10-17,cpe,ag,302,177.0
33,-30,2020-10-17,cpe,ag,233,98.0
34,-20,2020-10-17,cpe,ag,149,59.0
35,-15,2020-10-17,cpe,ag,126,50.0
36,-10,2020-10-17,cpe,ag,82,38.0
37,-7,2020-10-17,cpe,ag,34,28.0
38,-6,2020-10-17,cpe,ag,34,28.0
39,-5,2020-10-17,cpe,ag,34,28.0
40,-3,2020-10-17,cpe,ag,34,28.0
41,-2,2020-10-17,cpe,ag,17,13.0
42,-90,2020-10-17,cpe,ag,312,506.0
43,-60,2020-10-17,cpe,ag,294,499.0
44,-30,2020-10-17,cpe,ag,228,406.0
45,-20,2020-10-17,cpe,ag,145,291.0
46,-15,2020-10-17,cpe,ag,97,179.0
47,-10,2020-10-17,cpe,ag,56,88.0
48,-90,2020-10-18,cpe,ag,326,645.0
49,-60,2020-10-18,cpe,ag,310,619.0
50,-30,2020-10-18,cpe,ag,244,377.0
51,-20,2020-10-18,cpe,ag,169,210.0
52,-15,2020-10-18,cpe,ag,122,138.0
53,-10,2020-10-18,cpe,ag,70,78.0
54,-7,2020-10-18,cpe,ag,37,49.0
55,-6,2020-10-18,cpe,ag,37,49.0
56,-5,2020-10-18,cpe,ag,37,49.0
57,-90,2020-10-18,cpe,ag,354,705.0
58,-60,2020-10-18,cpe,ag,338,689.0
59,-30,2020-10-18,cpe,ag,267,437.0
60,-20,2020-10-18,cpe,ag,183,271.0
61,-15,2020-10-18,cpe,ag,125,204.0
62,-10,2020-10-18,cpe,ag,70,107.0
63,-7,2020-10-18,cpe,ag,37,56.0
64,-6,2020-10-18,cpe,ag,37,56.0
65,-5,2020-10-18,cpe,ag,37,56.0
66,-90,2020-10-18,cpe,ag,279,161.0
67,-60,2020-10-18,cpe,ag,261,152.0
68,-30,2020-10-18,cpe,ag,194,106.0
69,-20,2020-10-18,cpe,ag,131,39.0
70,-15,2020-10-18,cpe,ag,92,9.0
71,-10,2020-10-18,cpe,ag,29,2.0
72,-90,2020-10-18,cpe,ag,249,504.0
73,-60,2020-10-18,cpe,ag,231,477.0
74,-30,2020-10-18,cpe,ag,168,279.0
75,-20,2020-10-18,cpe,ag,92,181.0
76,-15,2020-10-18,cpe,ag,45,109.0
77,-10,2020-10-18,cpe,ag,16,60.0
78,-90,2020-10-19,cpe,ag,409,792.0
79,-60,2020-10-19,cpe,ag,392,778.0
80,-30,2020-10-19,cpe,ag,326,617.0
81,-20,2020-10-19,cpe,ag,233,451.0
82,-15,2020-10-19,cpe,ag,187,381.0
83,-10,2020-10-19,cpe,ag,118,262.0
84,-7,2020-10-19,cpe,ag,66,99.0
85,-6,2020-10-19,cpe,ag,66,99.0
86,-5,2020-10-19,cpe,ag,34,54.0
87,-90,2020-10-19,cpe,ag,427,796.0
88,-60,2020-10-19,cpe,ag,411,789.0
89,-30,2020-10-19,cpe,ag,339,581.0
90,-20,2020-10-19,cpe,ag,266,473.0
91,-15,2020-10-19,cpe,ag,208,421.0
92,-10,2020-10-19,cpe,ag,152,301.0
93,-7,2020-10-19,cpe,ag,121,205.0
94,-6,2020-10-19,cpe,ag,93,130.0
95,-5,2020-10-19,cpe,ag,62,74.0
96,-3,2020-10-19,cpe,ag,27,33.0
97,-2,2020-10-19,cpe,ag,27,33.0
98,-90,2020-10-19,cpe,ag,432,281.0
99,-60,2020-10-19,cpe,ag,414,264.0
100,-30,2020-10-19,cpe,ag,345,198.0
101,-20,2020-10-19,cpe,ag,282,164.0
102,-15,2020-10-19,cpe,ag,232,113.0
103,-10,2020-10-19,cpe,ag,181,93.0
104,-7,2020-10-19,cpe,ag,135,74.0
105,-6,2020-10-19,cpe,ag,114,61.0
106,-5,2020-10-19,cpe,ag,89,49.0
107,-3,2020-10-19,cpe,ag,58,33.0
108,-2,2020-10-19,cpe,ag,29,16.0
109,-90,2020-10-19,cpe,ag,502,499.0
110,-60,2020-10-19,cpe,ag,484,497.0
111,-30,2020-10-19,cpe,ag,411,439.0
112,-20,2020-10-19,cpe,ag,331,370.0
113,-15,2020-10-19,cpe,ag,272,311.0
114,-10,2020-10-19,cpe,ag,214,255.0
115,-7,2020-10-19,cpe,ag,160,195.0
116,-6,2020-10-19,cpe,ag,132,166.0
117,-5,2020-10-19,cpe,ag,100,139.0
118,-3,2020-10-19,cpe,ag,29,89.0
119,-2,2020-10-19,cpe,ag,29,89.0
120,-90,2020-10-20,cpe,ag,335,289.0
121,-60,2020-10-20,cpe,ag,316,286.0
122,-30,2020-10-20,cpe,ag,249,203.0
123,-20,2020-10-20,cpe,ag,185,127.0
124,-15,2020-10-20,cpe,ag,129,55.0
125,-10,2020-10-20,cpe,ag,87,40.0
126,-7,2020-10-20,cpe,ag,34,10.0
127,-6,2020-10-20,cpe,ag,18,1.0
128,-90,2020-10-20,cpe,ag,466,373.0
129,-60,2020-10-20,cpe,ag,448,356.0
130,-30,2020-10-20,cpe,ag,377,225.0
131,-20,2020-10-20,cpe,ag,286,123.0
132,-15,2020-10-20,cpe,ag,228,86.0
133,-10,2020-10-20,cpe,ag,173,63.0
134,-7,2020-10-20,cpe,ag,141,55.0
135,-6,2020-10-20,cpe,ag,125,50.0
136,-5,2020-10-20,cpe,ag,106,49.0
137,-3,2020-10-20,cpe,ag,82,40.0
138,-2,2020-10-20,cpe,ag,56,29.0
139,-1,2020-10-20,cpe,ag,29,21.0
140,-90,2020-10-20,cpe,ag,441,345.0
141,-60,2020-10-20,cpe,ag,422,345.0
142,-30,2020-10-20,cpe,ag,356,311.0
143,-20,2020-10-20,cpe,ag,290,291.0
144,-15,2020-10-20,cpe,ag,241,275.0
145,-10,2020-10-20,cpe,ag,179,230.0
146,-7,2020-10-20,cpe,ag,132,173.0
147,-6,2020-10-20,cpe,ag,111,147.0
148,-5,2020-10-20,cpe,ag,87,120.0
149,-3,2020-10-20,cpe,ag,56,92.0
150,-2,2020-10-20,cpe,ag,29,59.0
151,-90,2020-10-20,cpe,ag,547,626.0
152,-60,2020-10-20,cpe,ag,528,619.0
153,-30,2020-10-20,cpe,ag,461,563.0
154,-20,2020-10-20,cpe,ag,380,511.0
155,-15,2020-10-20,cpe,ag,325,474.0
156,-10,2020-10-20,cpe,ag,257,404.0
157,-7,2020-10-20,cpe,ag,203,329.0
158,-6,2020-10-20,cpe,ag,175,293.0
159,-5,2020-10-20,cpe,ag,144,262.0
160,-3,2020-10-20,cpe,ag,110,202.0
161,-2,2020-10-20,cpe,ag,82,178.0
162,-1,2020-10-20,cpe,ag,52,126.0
163,-90,2020-10-21,cpe,ag,338,331.0
164,-60,2020-10-21,cpe,ag,320,325.0
165,-30,2020-10-21,cpe,ag,252,241.0
166,-20,2020-10-21,cpe,ag,194,183.0
167,-15,2020-10-21,cpe,ag,139,134.0
168,-10,2020-10-21,cpe,ag,89,75.0
169,-7,2020-10-21,cpe,ag,52,35.0
170,-6,2020-10-21,cpe,ag,24,9.0
171,-5,2020-10-21,cpe,ag,24,9.0
172,-90,2020-10-21,cpe,ag,452,417.0
173,-60,2020-10-21,cpe,ag,433,409.0
174,-30,2020-10-21,cpe,ag,363,295.0
175,-20,2020-10-21,cpe,ag,283,183.0
176,-15,2020-10-21,cpe,ag,248,142.0
177,-10,2020-10-21,cpe,ag,182,97.0
178,-7,2020-10-21,cpe,ag,127,55.0
179,-6,2020-10-21,cpe,ag,99,43.0
180,-5,2020-10-21,cpe,ag,99,43.0
181,-3,2020-10-21,cpe,ag,53,29.0
182,-2,2020-10-21,cpe,ag,27,24.0
183,-90,2020-10-21,cpe,ag,398,307.0
184,-60,2020-10-21,cpe,ag,380,306.0
185,-30,2020-10-21,cpe,ag,313,287.0
